firm	ano	state	industry
2354678	2006	SP	52493
3134312	2009	SP	52493
2354805	2009	SP	52248
2354795	2009	SP	29696
2354657	2005	SP	74705
2354745	2008	SP	67199
2354702	2008	SP	52442
2354734	2005	SP	80993
2354680	2008	SP	55212
2354751	2008	SP	45500
2354714	2008	SP	52493
2354810	2009	SP	45420
2354691	2008	SP	50300
3134315	2006	SP	52132
2354760	2005	SP	18120
2354797	2007	SP	52418
2354707	2007	SP	52426
2354801	2008	SP	52426
4841172	2007	SP	52442
2354633	2006	SP	60267
573310	2007	MG	95001
2354672	2010	SP	29297
2354634	2005	SP	74993
6943148	2006	SP	71404
2354688	2006	SP	18120
2354724	2005	SP	52493
2354738	2010	SP	85138
2354815	2010	SP	24732
2354673	2009	SP	52132
2354646	2009	SP	80993
2354727	2010	SP	85316
3134309	2005	SP	29297
2354775	2008	SP	50300
2354719	2010	SP	28126
2354624	2008	SP	74209
6934575	2006	SP	93025
2354725	2006	SP	26492
2354666	2008	SP	45217
2354645	2005	SP	52710
2354675	2007	SP	52230
2354825	2010	SP	52132
2354746	2009	SP	52442
3134306	2009	SP	52132
292349	2009	DF	50504
2354765	2006	SP	50415
2354665	2009	SP	80152
2354805	2006	SP	55220
2354664	2008	SP	80152
2354646	2005	SP	80993
2354679	2005	SP	64114
4834778	2005	SP	74993
6812584	2005	SP	74993
2354656	2006	SP	74110
2354730	2008	SP	85111
3134300	2009	SP	29912
2354757	2007	SP	80993
292324	2009	DF	52493
2354776	2005	SP	15890
7374820	2006	SP	52442
3658301	2007	SP	51551
7813100	2007	SP	52310
2354791	2006	SP	52221
2354697	2005	SP	52159
2354772	2009	SP	55220
6872891	2006	SP	52434
2354809	2006	SP	52493
2354641	2005	SP	70327
3134305	2007	SP	37109
2354698	2010	SP	50415
2354811	2006	SP	15814
2354686	2009	SP	52310
4320080	2006	SP	74128
2354748	2006	SP	51691
2354674	2009	SP	19313
2354630	2008	SP	45411
7813102	2005	SP	55212
3134316	2005	SP	18120
2354711	2009	SP	50423
2354662	2010	SP	74993
2354786	2009	SP	52329
2354709	2010	SP	72303
2354830	2009	SP	45292
2354804	2007	SP	15113
2354646	2010	SP	80993
6768059	2005	SP	60267
2354790	2009	SP	52493
2354734	2010	SP	80993
2354701	2010	SP	50300
2354639	2008	SP	74608
2354656	2009	SP	74110
292348	2007	DF	50300
3134309	2006	SP	29297
2354719	2005	SP	28126
2354680	2005	SP	55239
2354800	2008	SP	50202
6688249	2006	SP	52442
2354798	2005	SP	55220
2354634	2007	SP	74993
2354709	2009	SP	72303
8182445	2008	MG	1112
2354644	2010	SP	80144
2354703	2008	SP	52442
2354689	2005	SP	26417
2354755	2010	SP	92614
6738638	2005	SP	55247
2354826	2008	SP	52493
2354622	2008	SP	74128
2354716	2006	SP	55220
2354828	2008	SP	52248
7238652	2005	MG	1619
30003	2005	TO	74993
2354807	2005	SP	67202
3658302	2006	SP	67202
2354812	2005	SP	74993
3134300	2008	SP	52710
2354818	2007	SP	52442
2354825	2007	SP	52132
3658301	2005	SP	51594
2354673	2007	SP	15814
2354629	2009	SP	74500
2354800	2010	SP	50202
2354625	2007	SP	85138
2354815	2005	SP	24112
2354715	2010	SP	60267
2354637	2007	SP	45330
2354804	2005	SP	15113
2354801	2010	SP	52426
2354789	2005	SP	92622
2354760	2010	SP	18120
2354802	2008	SP	52442
2354777	2010	SP	29912
2354631	2010	SP	92614
2354645	2007	SP	52710
2354693	2007	SP	92614
292348	2008	DF	52434
3134316	2010	SP	52329
6673297	2006	SP	28398
2354631	2009	SP	92614
2354820	2009	SP	52329
2354743	2006	SP	45217
6711831	2007	SP	52418
2354622	2010	SP	74128
6887270	2006	SP	36994
2354742	2006	SP	51470
2354645	2008	SP	52710
2354724	2008	SP	52493
292346	2007	DF	70106
2354772	2006	SP	55220
4841172	2006	SP	52442
6887269	2005	SP	52477
2354678	2005	SP	52493
2354682	2010	SP	15210
2354806	2006	SP	52450
2354665	2008	SP	80152
2354824	2009	SP	52426
2354641	2008	SP	70319
2354701	2008	SP	50300
2354751	2006	SP	45500
2354639	2009	SP	74608
7813101	2006	SP	50300
2354805	2008	SP	52248
2354789	2006	SP	92622
3134305	2006	SP	37109
2354753	2009	SP	55220
2354665	2007	SP	80144
292324	2010	DF	52493
2354664	2006	SP	80152
292348	2009	DF	50300
3134315	2007	SP	52132
2354631	2005	SP	92614
2354722	2005	SP	36994
2354652	2007	SP	31119
2354815	2006	SP	24112
2354722	2008	SP	31526
2354633	2010	SP	74128
2354774	2005	SP	50202
6912681	2005	SP	51454
2354622	2006	SP	74128
2354765	2005	SP	50415
3720235	2008	SP	67202
2354624	2007	SP	74209
7888088	2005	PR	85138
3134301	2008	SP	74209
2354781	2009	SP	55212
2354747	2008	SP	60267
2354723	2007	SP	63304
2354630	2006	SP	52442
2354679	2009	SP	64114
2354802	2007	SP	52442
3134314	2005	SP	2135
2354805	2010	SP	52248
2354786	2008	SP	52329
2354822	2008	SP	52442
2354833	2005	SP	29920
2354727	2007	SP	85316
2354705	2008	SP	52329
2354627	2008	SP	85162
6711834	2005	SP	52434
7813101	2007	SP	50300
2354724	2009	SP	52493
2354789	2008	SP	92622
2354675	2010	SP	52230
3281545	2005	DF	15954
2354673	2006	SP	15814
292349	2007	DF	50504
2354802	2005	SP	52442
2354734	2006	SP	80993
2354764	2009	SP	21415
2354778	2007	SP	45217
2354731	2005	SP	80993
2354685	2010	SP	52493
2354645	2009	SP	52710
2354776	2006	SP	15890
2354736	2008	SP	85154
2354657	2007	SP	74705
2354670	2005	SP	52493
3134303	2008	SP	71404
2354819	2010	SP	50202
2354803	2010	SP	52418
7505511	2006	SP	36110
2354775	2007	SP	50300
2354698	2008	SP	50415
2354760	2008	SP	18120
2354676	2009	SP	52442
2354647	2006	SP	93017
2354818	2010	SP	52442
2354813	2007	SP	52442
2354689	2007	SP	26417
2354760	2009	SP	18120
2354818	2009	SP	52442
2354669	2009	SP	22292
3134309	2007	SP	29297
2354652	2010	SP	31119
2354805	2005	SP	55220
3134306	2006	SP	52132
6930120	2008	SP	85154
2354781	2005	SP	55212
2354777	2009	SP	29912
3134305	2008	SP	37109
2354687	2006	SP	25194
2354786	2006	SP	52329
6738617	2005	SP	52469
2354624	2009	SP	74209
6812587	2006	SP	55212
3134305	2009	SP	37109
2354779	2005	SP	52493
2354712	2008	SP	22195
2354693	2005	SP	92614
2354690	2009	SP	52329
2354749	2006	SP	55212
3134312	2006	SP	52493
3134313	2008	SP	52159
2354759	2009	SP	52710
2354643	2005	SP	80136
2354758	2009	SP	51551
3658297	2010	SP	74993
2354763	2008	SP	52469
2354675	2008	SP	52230
2354810	2006	SP	45420
292334	2009	DF	52299
2354627	2009	SP	85162
2354799	2010	SP	52442
2354825	2008	SP	52132
2354673	2010	SP	52132
6781084	2006	SP	52450
2354783	2009	SP	55220
2354722	2010	SP	31526
2354620	2008	SP	92398
2354821	2005	SP	51691
3134308	2007	SP	52477
2354641	2009	SP	70319
2354684	2009	SP	52230
292334	2005	DF	52132
2354829	2010	SP	52329
2354778	2006	SP	45217
2354809	2010	SP	52230
2354810	2007	SP	45420
2354727	2009	SP	85316
7813099	2005	SP	51136
2354683	2007	SP	17507
2354731	2008	SP	80993
2354682	2009	SP	15210
2354798	2010	SP	55220
2354697	2010	SP	52159
2354678	2007	SP	52493
2354674	2006	SP	19313
2354748	2010	SP	51691
3281545	2010	DF	70203
2354719	2007	SP	28126
2354812	2007	SP	74993
2354630	2009	SP	45411
2354680	2006	SP	55212
2354734	2009	SP	80993
30003	2007	TO	74993
2354719	2008	SP	28126
2354676	2008	SP	52442
2354781	2008	SP	55212
2354749	2007	SP	55212
2354672	2008	SP	29297
2354757	2010	SP	80993
2354799	2007	SP	52442
2354801	2007	SP	52426
2354742	2008	SP	52469
2354829	2008	SP	52329
2354761	2007	SP	50300
2354765	2007	SP	50415
4844149	2006	SP	52329
2354830	2010	SP	45292
7505511	2007	SP	36110
2354774	2009	SP	50202
292324	2006	DF	52493
7813101	2005	SP	50300
2354711	2007	SP	50415
2354833	2010	SP	33103
2354709	2006	SP	52450
2354763	2010	SP	52469
2354738	2005	SP	85138
2354800	2005	SP	50202
2354747	2010	SP	60267
2354724	2007	SP	52493
6738617	2006	SP	52469
2354670	2006	SP	52493
2354717	2010	SP	55220
3720235	2007	SP	67202
2354640	2008	SP	50300
2354696	2009	SP	55220
2354665	2010	SP	80152
2354723	2010	SP	63304
2354685	2008	SP	52493
2354704	2008	SP	52493
2354812	2010	SP	74160
292334	2006	DF	52299
2354682	2005	SP	15210
2354774	2006	SP	50202
2354780	2009	SP	52418
2354786	2005	SP	52329
2354722	2007	SP	31526
2354823	2008	SP	52442
2354753	2008	SP	55220
2354630	2005	SP	52442
2354713	2008	SP	29246
2354821	2006	SP	51691
2354710	2007	SP	52450
2354801	2006	SP	52426
2354822	2007	SP	52442
2354820	2010	SP	52329
2354713	2005	SP	29246
2354790	2006	SP	52493
3134302	2009	SP	67202
2354831	2009	SP	29297
2354643	2010	SP	80144
2354722	2009	SP	31526
2354740	2008	SP	74993
3658302	2007	SP	67202
2354716	2009	SP	55220
2354670	2007	SP	52493
2354706	2007	SP	28428
3658297	2006	SP	74993
2354631	2007	SP	92614
6887269	2006	SP	52477
2354670	2009	SP	52493
2354704	2007	SP	52434
2354688	2009	SP	18120
2354789	2007	SP	92622
2354801	2005	SP	52426
2354723	2006	SP	63304
2354660	2007	SP	92614
2354765	2008	SP	50415
2354773	2010	SP	52493
2354717	2006	SP	55220
30003	2008	TO	74993
3720236	2008	SP	52418
2354621	2007	SP	52710
3134309	2009	SP	29297
2354748	2007	SP	51691
2354828	2009	SP	52248
8102627	2007	PE	1392
2354637	2008	SP	45330
7173866	2005	SP	52710
292324	2008	DF	52493
5296001	2005	SP	74128
3134312	2005	SP	52426
2354826	2010	SP	52493
2354691	2006	SP	50300
3134314	2007	SP	74993
2354761	2008	SP	50300
2354691	2007	SP	50300
2354627	2005	SP	85162
2354780	2007	SP	52418
2354683	2009	SP	17507
2354786	2010	SP	52329
2354782	2008	SP	52132
6673297	2007	SP	28398
7144615	2005	SP	52213
2354709	2007	SP	52450
2354703	2007	SP	52442
2354671	2006	SP	52329
292334	2007	DF	52299
2354692	2010	SP	52450
2354716	2007	SP	55220
2354665	2006	SP	80144
2354782	2010	SP	52132
2354657	2010	SP	74705
2354683	2008	SP	17507
3658302	2010	SP	67202
3134308	2006	SP	52477
3134314	2006	SP	74993
2354795	2010	SP	29696
2354677	2005	SP	55220
2354714	2009	SP	52493
2354637	2009	SP	45330
2354706	2006	SP	28428
2354692	2006	SP	52450
2354673	2008	SP	15814
3134305	2005	SP	37109
2354754	2005	SP	52493
2354775	2006	SP	50300
7888091	2005	PR	34398
2354786	2007	SP	52329
2354665	2005	SP	80144
2354826	2006	SP	52493
3134303	2009	SP	71404
2354727	2005	SP	85316
6812587	2005	SP	55212
2354794	2009	SP	52442
2354664	2009	SP	80152
2354671	2008	SP	52329
2354633	2009	SP	74128
2354772	2008	SP	55220
2354798	2007	SP	55220
2354742	2005	SP	52469
2354627	2010	SP	85162
2354779	2009	SP	52493
2354692	2007	SP	52450
2354702	2005	SP	52442
6831676	2007	SP	52418
3134303	2005	SP	92126
2354743	2007	SP	45217
3134313	2009	SP	52159
2354629	2010	SP	74500
2354807	2010	SP	67202
2354688	2010	SP	18120
2354637	2005	SP	45330
2354797	2006	SP	52418
2354725	2010	SP	26492
6872891	2005	SP	52434
7683190	2006	SP	52477
6812589	2007	SP	51217
2354640	2010	SP	50300
6688246	2005	SP	74705
6800880	2008	SP	52493
2354714	2005	SP	52493
7683189	2005	SP	52329
2354828	2005	SP	55212
2354822	2009	SP	52442
6738630	2006	SP	55212
2354790	2005	SP	92398
7187476	2006	SP	52329
2354710	2005	SP	52450
6831677	2005	SP	63401
2354807	2007	SP	67202
2354648	2007	SP	50300
2354730	2006	SP	85111
3134310	2010	SP	55220
2354804	2010	SP	15113
6005751	2005	DF	74128
2354688	2005	SP	18120
2354813	2006	SP	52442
2354730	2009	SP	85111
2354718	2006	SP	72290
573310	2006	MG	95001
2354621	2009	SP	52710
3720236	2010	SP	52418
3658297	2007	SP	74993
2354726	2008	SP	70327
2354761	2006	SP	50300
6781084	2005	SP	52450
2354713	2007	SP	29246
2354820	2006	SP	52329
2354726	2005	SP	70327
2354646	2006	SP	80993
2354716	2005	SP	55220
7938152	2006	BA	95001
3658304	2010	SP	26417
2354810	2008	SP	45420
2354746	2008	SP	52442
2354795	2005	SP	29696
6831680	2005	SP	52493
2354808	2008	SP	60267
2354644	2007	SP	80144
2354762	2009	SP	52159
6949256	2007	SP	52450
2354719	2006	SP	28126
3134308	2009	SP	52477
2354714	2006	SP	52493
2354738	2007	SP	85138
2354802	2010	SP	52442
2354643	2008	SP	80144
2354740	2007	SP	74993
2354666	2009	SP	45217
292349	2008	DF	50504
4841172	2005	SP	52442
2354675	2009	SP	52230
2354754	2010	SP	52493
6872889	2005	SP	52299
2354733	2007	SP	74993
2354822	2010	SP	52442
2354827	2010	SP	25291
6831680	2006	SP	52493
2354701	2009	SP	50300
2354821	2009	SP	51691
2354666	2006	SP	45217
2354671	2009	SP	52329
2354689	2008	SP	26417
2354780	2006	SP	52418
2354706	2005	SP	28428
2354776	2008	SP	15890
2354776	2009	SP	15890
3720236	2007	SP	52418
2354705	2006	SP	52329
2354630	2010	SP	45411
2354664	2007	SP	80152
292345	2005	DF	55131
2354669	2006	SP	22292
2354620	2010	SP	92398
2354683	2010	SP	17507
2354644	2008	SP	80144
2354781	2006	SP	55212
2354693	2009	SP	92614
2354693	2008	SP	92614
7144615	2008	SP	52213
2354644	2006	SP	80144
5297281	2008	SP	80144
2354790	2008	SP	52493
6812589	2006	SP	51217
2354706	2008	SP	28428
2354636	2008	SP	85138
2354773	2009	SP	52493
2354811	2009	SP	15814
2354781	2007	SP	55212
2354705	2010	SP	52329
2354748	2009	SP	51691
2354791	2007	SP	52493
3134317	2007	SP	52493
2354637	2010	SP	45330
2354696	2008	SP	55220
2354677	2009	SP	55220
2354754	2007	SP	52493
3720235	2010	SP	67202
292345	2007	DF	55131
2354764	2008	SP	21415
2354806	2010	SP	45128
2354813	2009	SP	52442
2354742	2009	SP	52469
2354713	2010	SP	29246
8176832	2008	RN	1414
3658298	2006	SP	70327
2354717	2007	SP	55220
2354704	2009	SP	52493
2354648	2010	SP	50300
2354627	2007	SP	85162
2354796	2005	SP	74993
3134306	2008	SP	52132
4259880	2006	SP	74403
2354693	2010	SP	92614
1570526	2010	RJ	95001
2354825	2009	SP	52132
2354760	2006	SP	18120
2354758	2007	SP	51551
6949256	2006	SP	52450
3134316	2009	SP	18120
2354639	2007	SP	74608
6673297	2005	SP	28398
2354725	2009	SP	26492
2354806	2007	SP	52450
2354757	2006	SP	80993
2354717	2008	SP	55220
2354731	2006	SP	80993
2354750	2010	SP	52795
7813100	2006	SP	52310
7683189	2006	SP	52329
2354799	2005	SP	52442
6768054	2005	SP	18112
2354820	2008	SP	52329
2354742	2010	SP	52469
7351720	2005	SP	26301
2354707	2009	SP	52426
2354789	2009	SP	92622
2354706	2009	SP	28428
2354682	2008	SP	15210
2354718	2007	SP	72214
2354818	2008	SP	52442
2354797	2008	SP	52418
2354813	2005	SP	52442
2354801	2009	SP	52426
2354709	2008	SP	72303
2354740	2006	SP	74993
2354738	2006	SP	85138
6887270	2005	SP	28428
3658304	2005	SP	26417
2354794	2010	SP	52442
2354669	2005	SP	51470
2354701	2006	SP	50300
2354776	2007	SP	15890
7351717	2005	SP	34495
2354828	2010	SP	52248
2354723	2008	SP	63304
292346	2005	DF	74209
2354761	2009	SP	50300
2354772	2010	SP	55220
2354833	2009	SP	33103
2354691	2010	SP	50300
2354686	2005	SP	52310
2354733	2008	SP	74993
2354710	2006	SP	52450
2354687	2009	SP	25194
2354736	2005	SP	85154
6872891	2007	SP	52434
2354648	2005	SP	50202
3720235	2006	SP	67202
5297281	2006	SP	80144
2354764	2006	SP	21415
2354779	2010	SP	52442
292345	2010	DF	55131
2354751	2010	SP	45500
3134300	2005	SP	29912
3134317	2006	SP	52493
3134315	2009	SP	52132
2354826	2007	SP	52493
2354820	2007	SP	52329
2354625	2010	SP	85138
2354808	2010	SP	60267
3134303	2007	SP	71404
6688249	2007	SP	52442
3658301	2006	SP	51551
2354827	2006	SP	25291
2354682	2006	SP	15210
6768054	2007	SP	52329
7374822	2005	SP	52132
2354684	2006	SP	52230
2354750	2008	SP	52795
2354676	2010	SP	52442
2354664	2010	SP	80152
2354691	2005	SP	50300
2354633	2008	SP	74128
6812589	2005	SP	51217
2354773	2005	SP	52493
2354643	2007	SP	80144
6711831	2008	SP	52418
2354797	2010	SP	52418
2354645	2006	SP	52710
2354725	2007	SP	26492
3134301	2007	SP	63215
2354701	2007	SP	50300
573309	2008	MG	95001
2354804	2009	SP	15113
2354780	2005	SP	52418
6768059	2007	SP	60267
2354692	2005	SP	74993
6738632	2005	SP	74993
2354697	2009	SP	52159
2354633	2007	SP	74128
2354683	2006	SP	17507
2354824	2008	SP	52426
2354795	2007	SP	29696
2354793	2007	SP	52418
292334	2010	DF	52299
2354708	2005	SP	26301
2354796	2007	SP	74993
2354662	2007	SP	52710
2354666	2010	SP	45217
2354637	2006	SP	64203
2354644	2005	SP	80152
2354678	2009	SP	52493
2354812	2008	SP	74160
2354758	2005	SP	51551
6930120	2006	SP	85138
2354684	2007	SP	52230
2354722	2006	SP	25291
2354685	2006	SP	52493
6711831	2005	SP	52418
6930120	2005	SP	85154
2354823	2005	SP	60267
7144615	2006	SP	52213
2354646	2008	SP	80993
2354746	2005	SP	52442
2354755	2007	SP	92614
2354654	2009	SP	45420
292349	2010	DF	50504
6949257	2006	SP	65595
2354698	2007	SP	50415
2354748	2008	SP	51691
5296001	2007	SP	74128
2354821	2010	SP	51691
2354778	2010	SP	45217
3134304	2008	SP	52493
2354624	2005	SP	74209
2354751	2005	SP	45438
3134313	2007	SP	52329
2354725	2008	SP	26492
2354708	2009	SP	26301
6781081	2006	SP	52450
5296001	2006	SP	74128
2354738	2008	SP	85138
2354795	2008	SP	29696
2354710	2009	SP	52450
2354656	2007	SP	74110
2354680	2009	SP	55212
2354798	2009	SP	55220
2354753	2007	SP	55220
2354627	2006	SP	85162
8169836	2008	BA	1112
2354811	2007	SP	15814
2354776	2010	SP	15890
2354674	2005	SP	19313
2354820	2005	SP	52329
2354621	2006	SP	52710
2354818	2005	SP	52442
2354790	2007	SP	52493
2354710	2008	SP	52450
2354812	2009	SP	74160
573309	2007	MG	95001
2354685	2007	SP	52493
2354704	2010	SP	52493
2354789	2010	SP	92622
292348	2005	DF	52434
3134318	2009	SP	55220
2354812	2006	SP	74993
2354706	2010	SP	28428
1570526	2009	RJ	95001
3658304	2008	SP	26417
8138471	2007	PR	60267
2354760	2007	SP	18120
2354740	2009	SP	74993
2354634	2009	SP	74993
2354778	2005	SP	45217
2354822	2006	SP	52442
2354750	2007	SP	52795
292346	2009	DF	70106
2354660	2010	SP	92614
30003	2010	TO	74993
2354829	2007	SP	52329
2354629	2007	SP	74500
2354686	2010	SP	52310
6831677	2006	SP	63401
2354753	2010	SP	55220
2354660	2006	SP	92614
2354707	2006	SP	52426
2354712	2010	SP	22195
7999408	2006	MG	1414
2354829	2009	SP	52329
2354797	2005	SP	52418
6872886	2007	SP	52493
6781081	2007	SP	52450
2354726	2010	SP	70327
2354800	2006	SP	50202
2354825	2005	SP	52213
2354620	2009	SP	92398
2354705	2007	SP	52329
2354740	2010	SP	74993
2354802	2009	SP	52442
2354809	2009	SP	52230
2354683	2005	SP	17507
2354743	2010	SP	45217
2354823	2010	SP	52442
2354716	2008	SP	55220
2354753	2005	SP	55220
2354815	2009	SP	24732
6688249	2005	SP	60267
2354751	2007	SP	45500
2354823	2006	SP	52442
2354636	2010	SP	85138
2354639	2010	SP	74608
2354803	2009	SP	52418
2354689	2009	SP	26417
292348	2010	DF	50300
2354725	2005	SP	26417
2354676	2006	SP	52442
2354757	2009	SP	80993
2354717	2005	SP	55220
2354826	2009	SP	52493
2354796	2008	SP	74993
2354634	2006	SP	74993
3658304	2006	SP	26417
6711831	2006	SP	52418
2354763	2007	SP	52469
6738630	2007	SP	55212
2354761	2010	SP	50300
2354782	2009	SP	52132
292327	2005	DF	55212
2354629	2008	SP	74500
2354831	2008	SP	29297
2354652	2006	SP	31119
2354792	2009	SP	50300
2354708	2006	SP	26301
2354620	2005	SP	92398
2354704	2005	SP	52434
292324	2007	DF	52493
3134314	2008	SP	74993
6949257	2005	SP	65595
2354746	2010	SP	52442
2354747	2006	SP	60267
2354759	2007	SP	52710
7144614	2006	SP	20222
3720236	2005	SP	52418
2354772	2007	SP	55220
2354648	2008	SP	50300
2354704	2006	SP	52434
2354753	2006	SP	55220
2354656	2008	SP	74110
7683190	2007	SP	52477
2354734	2008	SP	80993
2354808	2005	SP	51195
3720236	2006	SP	52418
2354684	2010	SP	52230
2354680	2010	SP	55212
